Price,High,Low,Open,Date,Volumefrom,Volumeto
1164.65,1333.92,1124.35,1248.96,2018-01-11,955806.64,1156020609.42
1248.99,1385.22,1210.85,1289.24,2018-01-10,1105070.29,1445484601.88
1289.24,1300.3,1133.7,1136.11,2018-01-09,812642.22,986697724.1
1136.11,1228.25,967.84,1117.75,2018-01-08,1137114.56,1292737991.11
1117.75,1117.84,1003.21,1006.41,2018-01-07,563476.81,602250144.77
1006.41,1010.17,958.29,967.13,2018-01-06,384316.27,381555969.51
967.13,1018.37,933.98,944.83,2018-01-05,825084.59,808280779.56
944.83,997.44,901.03,941.0,2018-01-04,822844.78,780050914.4
941.1,951.7,847.9,861.97,2018-01-03,871172.13,778108786.12
861.97,882.61,756.17,756.17,2018-01-02,1123318.86,949013949.18
756.2,765.3,724.33,741.09,2018-01-01,342878.12,256171569.97
741.13,746.62,686.44,692.99,2017-12-31,361409.91,259822610.45
692.99,741.67,663.88,739.6,2017-12-30,654093.06,455555629.24
739.6,755.2,710.2,716.69,2017-12-29,533531.26,392497843.64
716.69,741.46,671.23,739.93,2017-12-28,624468.48,437323299.68
739.94,766.53,706.67,753.44,2017-12-27,474557.77,352542483.1
753.4,756.03,722.23,723.14,2017-12-26,394588.38,293691001.17
723.14,747.36,671.71,676.08,2017-12-25,536600.51,382873119.5
675.91,701.07,597.12,700.44,2017-12-24,742417.69,477777689.82
700.44,747.53,651.1,657.81,2017-12-23,663566.52,468771914.78
657.83,794.16,490.28,789.39,2017-12-22,2384161.57,1535685091.41
789.39,840.55,759.65,799.17,2017-12-21,906371.43,725479885.52
799.17,830.2,713.75,812.5,2017-12-20,1135826.7,889990388.6
812.5,868.89,767.59,786.17,2017-12-19,1339007.15,1094688835.82
785.99,799.37,679.8,717.73,2017-12-18,1016881.96,752383737.04
717.71,732.45,691.95,692.32,2017-12-17,532050.55,381124251.98
692.83,718.37,678.52,684.09,2017-12-16,545836.8,378863163.02
684.27,696.89,614.33,693.58,2017-12-15,954510.93,633348317.08
693.58,751.68,662.29,699.09,2017-12-14,1133303.76,806129945.07
699.09,755.07,593.89,656.52,2017-12-13,1964686.27,1324617349.11
656.52,678.25,499.57,513.36,2017-12-12,1760917.56,997267993.61
513.29,519.35,436.01,436.54,2017-12-11,758921.64,359245523.6
436.49,472.78,428.3,472.31,2017-12-10,694853.93,307733091.95
472.86,507.36,448.09,451.78,2017-12-09,1093313.72,522718280.71
451.74,461.1,410.33,420.76,2017-12-08,1095872.72,479837604.63
421.15,434.85,404.16,422.39,2017-12-07,992479.84,416652301.63
422.48,456.87,413.13,453.96,2017-12-06,1074639.32,470223347.34
453.96,467.84,451.47,466.93,2017-12-05,494270.35,227246572.43
466.93,472.16,446.64,462.92,2017-12-04,411969.17,189877684.96
462.81,481.56,445.57,457.96,2017-12-03,509415.89,237918665.66
457.96,471.39,449.69,461.58,2017-12-02,464500.81,214732551.78
461.58,467.22,416.77,435.31,2017-12-01,583678.92,259931075.6
434.85,460.81,396.14,427.3,2017-11-30,1023187.3,438013592.75
427.42,515.44,409.35,466.24,2017-11-29,1321734.67,619578824.65
466.27,478.46,459.91,475.2,2017-11-28,549199.04,258005286.21
475.24,489.43,462.47,470.45,2017-11-27,672619.99,319587125.58
470.54,471.5,451.12,464.55,2017-11-26,376521.85,172973289.85
464.61,483.38,457.41,470.4,2017-11-25,642619.77,301212841.34
470.43,478.38,400.18,406.51,2017-11-24,908488.94,394452948.4
406.57,424.92,375.44,380.83,2017-11-23,1028925.9,414164352.05
380.84,381.61,359.97,360.52,2017-11-22,445622.07,164317320.01
360.52,372.87,351.41,367.71,2017-11-21,693590.17,251898109.93
367.71,372.82,354.28,354.67,2017-11-20,461611.79,167626773.14
354.6,371.32,343.89,346.65,2017-11-19,633880.58,225946121.64
346.65,349.46,326.83,331.72,2017-11-18,421354.76,141724984.0
331.72,334.55,325.83,330.32,2017-11-17,378014.46,124992568.47
330.32,334.85,321.9,331.2,2017-11-16,479983.53,157426941.16
331.2,345.18,324.88,334.72,2017-11-15,514478.63,171713343.53
334.72,337.15,314.45,314.6,2017-11-14,785305.62,256426287.76
314.6,318.58,305.35,306.02,2017-11-13,558443.0,174789178.94
306.02,317.22,297.48,314.23,2017-11-12,877312.34,269198764.73
314.23,320.05,296.26,296.86,2017-11-11,531431.95,163117794.2
296.86,324.22,288.96,319.67,2017-11-10,793302.54,242321395.52
319.66,329.21,305.84,307.35,2017-11-09,650266.17,207473774.31
307.35,319.2,290.55,291.84,2017-11-08,800725.7,245218193.52
291.84,303.76,287.45,296.82,2017-11-07,530096.77,155572238.28
296.82,306.8,292.26,296.22,2017-11-06,376470.44,112601694.96
296.23,300.65,294.06,300.0,2017-11-05,214091.55,63667315.96
300.04,304.65,294.05,304.51,2017-11-04,277052.73,82749431.95
304.51,307.14,284.85,284.92,2017-11-03,487772.27,144510264.39
284.92,293.03,276.89,289.42,2017-11-02,702319.19,200255173.09
289.42,304.77,288.5,303.63,2017-11-01,406127.88,121046164.14
303.64,310.86,303.4,306.8,2017-10-31,214194.38,65784953.81
306.8,311.94,303.58,304.04,2017-10-30,186091.57,57189166.5
304.04,311.3,292.06,293.33,2017-10-29,353324.1,107293933.23
293.35,297.05,291.11,296.37,2017-10-28,142578.77,41932396.96
296.36,298.9,292.24,295.54,2017-10-27,152637.47,45180916.86
295.54,299.37,292.7,296.35,2017-10-26,160687.3,47625722.81
296.35,300.36,289.46,296.5,2017-10-25,245972.24,72454123.85
296.5,311.23,280.01,285.27,2017-10-24,545459.65,165128705.67
285.27,294.25,274.96,294.03,2017-10-23,430501.72,121924456.19
294.03,305.89,290.69,299.55,2017-10-22,229706.09,67955886.57
299.55,303.09,290.92,303.08,2017-10-21,307450.01,91321527.88
303.08,312.11,301.86,307.41,2017-10-20,297745.84,91295399.0
307.41,316.38,304.63,313.54,2017-10-19,297975.44,92233614.25
313.54,316.34,287.95,316.14,2017-10-18,543742.61,164595270.46
316.14,334.42,310.57,334.23,2017-10-17,415234.07,133468389.3
334.23,352.39,332.9,336.58,2017-10-16,498450.89,170532984.7
